Threonine 2.09
Valine 3.78
Isoleucine 2.69
Leucine 5.30
Lysine 2.2
Histidine 1.19
Cystine 0.13
Tyrosine 1.33
MethioninePlusCystine 2.35
PhenylalaninePlusTyrosine 6.80
